id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,height,stories,year_compl,prjarea,singfamhu,smmultifam,lgmultifam,hu,gqpop,rptdemp,commsf,hotelrms,onsitepark,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,latitude,longitude,mixed_use,created_at,updated_at,municipal,devlper,yrcomp_est,units_1bd,units_2bd,units_3bd,affrd_unit,aff_u30,aff_30_50,aff_50_80,aff_80p,headqtrs,park_type,publicsqft,unknownhu,aff_unknown,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,mepa_id,traffic_count_data,mepa_id_present,traffic_count_data_present
3718,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Great Woods,completed,Special Permit from the Planning Board.  Open Space Residential Development 57 Single Family Residential Units off Mammoth Road,,Clement Rd,MA,01826,,,2015,,57,0,0,57,0,,0,,,,0,0,0,0,0,0,0,,42.69404313,-71.3556494,FALSE,2014-12-17 21:05:15 UTC,2018-04-24 22:33:01 UTC,Dracut,,FALSE,,,,,,,,,FALSE,,,,,,F_694991_3078022,2017,Northern Middlesex Council of Governments,Middlesex,,[],,,,
3735,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Plantation Apartments, 22 Johnston Way",completed,Elderly Housing 37 one-bedroom elderly housing units and 1 three-bedroom unit,,22 Johnston Way,MA,01775,,,2011,,0,0,38,38,0,0,0,0,,,0,0,0,0,0,0,0,,42.43281109,-71.49654611,FALSE,2014-11-19 16:50:16 UTC,2018-04-24 22:34:12 UTC,Stow,Stow Elderly Housing Corp.,FALSE,37,,1,,,,,,FALSE,,,,,,M_200284_909143,2017,Metropolitan Area Planning Council,Middlesex,,[],,,,
3743,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36 River Street,completed,"Construction of four (4) levels of residential units above a two (2) level parking structure (five (5) stories and one (1) basement).  The maximum height of the roof of the building shall not exceed 62 feet above the avg existing grade of the lot. A 200 - unit residential building and an increase in intensity of use for said residential  building with 400 parking spaces.  Said land (the locus) on which the residential building and parking is located contains 179,003 square feet of land and is located in an Industrial Zoning District and the Riverfront Overlay District Commercial Zoning District.",,36 River Street,MA,02453,62,,2015,,0,0,200,200,0,,0,,400,,0,0,0,0,0,0,0,,42.36757479,-71.21697293,FALSE,2014-11-26 20:57:32 UTC,2018-04-24 22:34:40 UTC,Waltham,,FALSE,,,,,,,,,FALSE,underground,,,,,F_732652_2959100,2017,Metropolitan Area Planning Council,Middlesex,,[],,,,
3740,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Corey10 Apartments,completed,The project is a 40-unit luxury multifamily building with 4 affordable units in Downtown Melrose.,,10-14 Corey Street,MA,02176,,4,2018,,0,0,40,40,0,,0,0,40,,0,0,0,0,0,0,0,0,42.45224997,-71.06813483,FALSE,2015-12-01 20:06:05 UTC,2019-03-25 13:20:23 UTC,Melrose,,FALSE,,,,4,0,0,4,0,FALSE,,0,,,,F_772718_2990127,2017,Metropolitan Area Planning Council,Middlesex,,"[""Commuter Rail: Wyoming Hill""]",,,,
1119,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The Aberdeen,completed," Developed by Westbrook Partners, residences include 12 1BR, 25 2BR, and 3 3BR condos, 5 designated affordable units, and on-site parking spaces. Pre-sales began in September 2017, with 1BRs starting in $600k range, 2BRs at $800k range, and 3BR penthouses at $1.2million.",,1650 Commonwealth Avenue ,MA,02135,,6,2018,49848,0,0,40,40,0,0,2400,0,40,18000000,2400,0,0,0,0,0,0,0,42.34171443,-71.14325795,TRUE,2015-10-13 21:43:44 UTC,2020-01-09 17:33:19 UTC,Boston,Westbrook Partners,FALSE,12,25,3,5,0,0,0,5,FALSE,,0,,,,M_229397_899086,2017,Metropolitan Area Planning Council,Suffolk,Brighton,"[""Rapid Transit: Washington Street Glx""]",,,,
3752,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Collin Farm - 505 Pleasant Street,completed,The Application was filed for the division of the land into seven lots and two cul-de-sacs Subdivision Section 81-U of Chapter 41 of the Massachusetts General Laws and the Rules and Regulations Governing Subdivision of Land in the Town of Framingham dated March 2008 (the Rules and Regulations).,http://www.framinghamma.gov/1601/505-Pleasant-Street--Collin-Farm,505 Pleasant St,MA,01701,,,2016,,8,0,0,8,0,,0,,,,0,0,0,0,0,0,0,,42.30464974,-71.45953746,FALSE,2014-12-04 21:42:44 UTC,2018-04-24 22:35:08 UTC,Framingham,,FALSE,,,,,,,,,FALSE,,,,,,M_203320_894920,2012,Metropolitan Area Planning Council,Middlesex,,[],,,,
3768,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Graniteville Woods,completed,"Detached single family and townhouses, condominium 164 unit mixed income housing development",http://granitevillewoods.com/index.asp,79-99 N Main St,MA,01886,,,2014,,68,60,36,164,0,,0,,38,,0,0,0,0,0,0,0,,42.59157876,-71.47367683,FALSE,2014-12-15 18:54:42 UTC,2018-04-24 22:36:01 UTC,Westford,,FALSE,,,,,,,,,FALSE,,,,,,M_202160_926779,2012,Northern Middlesex Council of Governments,Middlesex,,[],,,,
3748,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47 Summer Street,completed,8-unit apartment building ,,47 Summer Street,MA,02038,,,2013,,0,8,0,8,0,,0,,,,0,0,0,0,0,0,0,,42.08034873,-71.39428049,FALSE,2014-12-01 20:05:33 UTC,2018-04-24 22:34:59 UTC,Franklin,,FALSE,,,,,,,,,FALSE,,,,,,M_208748_869999,2016,Metropolitan Area Planning Council,Norfolk,,"[""Commuter Rail: Franklin/Dean College""]",,,,
3758,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,141 West Second Street,completed," Originally a spice factory, the building was converted in 2010 into 17 residential units with an elevator and garage parking.",,141 West Second Street,MA,02127,,,2011,,0,0,17,17,0,,0,,,,0,0,0,0,0,0,0,,42.34210141,-71.05271664,FALSE,2014-12-08 21:22:06 UTC,2018-04-24 22:35:36 UTC,Boston,,FALSE,,,,,,,,,FALSE,garage,,,,,M_236857_899164,2017,Metropolitan Area Planning Council,Suffolk,South Boston,"[""Rapid Transit: Broadway""]",,,,
3761,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,425 Washington Street,planning," Proposal calls for the construction of 60 residential units, 14,200 SF of retail space and 125 parking spaces.",,425 Washington Street,MA,02135,,,2027,,0,0,60,60,0,,14200,,125,14000000,14200,0,0,0,0,0,0,,42.34939354,-71.15603237,TRUE,2014-12-09 16:30:24 UTC,2020-01-10 15:03:15 UTC,Boston,,TRUE,,,,7,0,0,0,7,FALSE,,,,,,M_228341_899935,2017,Metropolitan Area Planning Council,Suffolk,Brighton,"[""MBTA Key Bus Route: 57"", ""MBTA Key Bus Route: 66""]",,,,
